"text_entry","spec","spore_type","measure_orig","Dimension_1","Dimension_2","Dimension_3","Mean_Dim1","Mean_Dim2"
"part-ascospores lanceolate, multiseptate, (44.0-)48.5-57.5(-68.0) x 2.0-2.5 µm.","Atricordyceps harposporifera_30784","part-ascospores","(44.0-)48.5-57.5(-68.0) x 2.0-2.5","48.5-57.5","2.0-2.5",NA,53,2.25
"Ascospores 7.5-12 x 3.7-5 µm,","Carbonea vorticosa_193385","Ascospores","7.5-12 x 3.7-5","7.5-12","3.7-5",NA,9.75,4.35
"ascospores hyaline, simple, oblong-ellipsoid, 10-13.5 x 3-5 µm.
Spot","Carbonea vorticosa_193385","ascospores","10-13.5 x 3-5","10-13.5","3-5",NA,11.75,4
"ascospores arranged uniseriate, biseriate to irregularly biseriate. Ascospores fusiform to oval, straight to slightly curved, one-septate, median to submedian, distinct constriction to no constriction at septum, 3-4 guttules, (7.5-)9-10(-12) x (2-)2.5-3(-3.5) µm","Cryptodiaporthe racemula_141520","ascospores","(7.5-)9-10(-12) x (2-)2.5-3(-3.5)","9-10","2.5-3",NA,9.5,2.75
"Ascospores fusiform to oval, straight to slightly curved, one-septate, median to submedian, distinct constriction to no constriction at septum, 3-4 guttules, (7.5-)9-10(-12) x (2-)2.5-3(-3.5) µm","Cryptodiaporthe racemula_141520","Ascospores","(7.5-)9-10(-12) x (2-)2.5-3(-3.5)","9-10","2.5-3",NA,9.5,2.75
"Ascospores filiform, hyaline, 2-septate, smooth, 65-100 µm","Cyclaneusma minus_120738","Ascospores","65-100","65-100",NA,NA,82.5,82.5
"Ascospores filiform, hyaline, 2-septate, smooth, 75-120 µm","Cyclaneusma niveum_141862","Ascospores","75-120","75-120",NA,NA,97.5,97.5
"ascospores arranged obliquely uniseriate to irregularly multiseriate. Ascospores fusiform with rounded ends, straight to slightly curved, one-septate, median to submedian or supramedian, not constricted or slightly constricted at septum, each cell with several small guttules, (11-)12-14(-15)-(2-)3-4 µm","Gnomonia quercus-gambellii_127942","ascospores","(11-)12-14(-15) x (2-)3-4","12-14","3-4",NA,13,3.5
"Ascospores fusiform with rounded ends, straight to slightly curved, one-septate, median to submedian or supramedian, not constricted or slightly constricted at septum, each cell with several small guttules, (11-)12-14(-15)-(2-)3-4 µm","Gnomonia quercus-gambellii_127942","Ascospores","(11-)12-14(-15) x (2-)3-4","12-14","3-4",NA,13,3.5
"Ascospores oblate, brownish-black, 11.5-17.0 x 10-12 x 7-8 µm,","Lecythophora hoffmannii_20639","Ascospores","11.5-17.0 x 10-12 x 7-8","11.5-17.0","10-12","7-8",14.25,11
"Ascospores parallel to partly or closely coiled in a helix in the ascus, filiform, somewhat tapering towards the ends or flagelliform at the ends, hyaline to very pale, 3-13-septate, 81-206 x 2,5-5,5µm.","Cochliobolus australiensis_130625","Ascospores","81-206 x 2,5-5,5","81-206","2.5-5.5",NA,143.5,4
"Ascospores allantoid, suballantoid to oblong, dark brown 7.5-0 (-12.5) x 1-1.5 µm","Diatrype whitmanensis_128459","Ascospores","7.5-0 (-12.5) x 1-1.5","7.5-0","1-1.5",NA,3.75,1.25
"Ascospores lenticular, variable in size, 2.2-3.8(-4.0) x 1.5-2.8(-3.0) µm,","Eupenicillium euglaucum_9849","Ascospores","2.2-3.8(-4.0) x 1.5-2.8(-3.0)","2.2-3.8","1.5-2.8",NA,3,2.15
"Ascospores hyaline, broadly lenticular, 3.0-3.5(-3.7) x 2.0-2.5(-2.7) µm,","Eupenicillium limoneum_18996","Ascospores","3.0-3.5(-3.7) x 2.0-2.5(-2.7)","3.0-3.5","2.0-2.5",NA,3.25,2.25
"Ascospores hyaline to pale when mature, primarily 6-9 transversely septate, becoming progressively submuriform (1-3 vertical septa), ellipsoidal, with round to subacute ends, non halonate, 35-40(-50) x 13-17(-20) µm,","Letrouitia transgressa_192990","Ascospores","35-40(-50) x 13-17(-20)","35-40","13-17",NA,37.5,15
"ascospores mainly biseriate. Ascospores fusiform to slightly clavate with narrowly rounded ends, slightly curved, (17.1-) 20.0-26.0 (-28.8)-(5.5-) 5.6-7.2 (-8.5) µm","Nectria rehmiana_144403","ascospores","(17.1-) 20.0-26.0 (-28.8) x (5.5-) 5.6-7.2 (-8.5)","20.0-26.0","5.6-7.2",NA,23,6.4
"Ascospores fusiform to slightly clavate with narrowly rounded ends, slightly curved, (17.1-) 20.0-26.0 (-28.8)-(5.5-) 5.6-7.2 (-8.5) µm","Nectria rehmiana_144403","Ascospores","(17.1-) 20.0-26.0 (-28.8) x (5.5-) 5.6-7.2 (-8.5)","20.0-26.0","5.6-7.2",NA,23,6.4
"ascospores are fusoid, straight or slightly curved, ends obtuse, seven-septate, 22-27 x 5-6 µm.
This","Torrubiella hirsutellae_166664","ascospores","22-27 x 5-6","22-27","5-6",NA,24.5,5.5
"Ascospores hyaline, aseptate, filiform, smooth, 70-110 x 1,5-2,5 µm,","Lophodermium agathidis_128749","Ascospores","70-110 x 1,5-2,5","70-110","1.5-2.5",NA,90,2
"Ascospores arranged in fascicles sometimes helically coiled, 70-95 x 1.2-1.6 µm,","Lophodermium agathidis_128749","Ascospores","70-95 x 1.2-1.6","70-95","1.2-1.6",NA,82.5,1.4
"Ascospores hyaline or nearly hyaline, cylindrical to ellipsoidal, 6-8 x 2.5-3.2 µm,","Dipodascus macrosporus_8683","Ascospores","6-8 x 2.5-3.2","6-8","2.5-3.2",NA,7,2.85
"Ascospores hyaline, aseptate, smooth, filiform, 60-90 x 1-1,5 µm,","Lophodermium kumaunicum_129101","Ascospores","60-90 x 1-1,5","60-90","1-1.5",NA,75,1.25
"ascospores (2-)3-5(-7), ellipsoid-ovoid (-subglobose), 16-25.5 x 10.5-16.5 µm.","Microsphaera cinnamomi_187470","ascospores",")16-25.5 x 10.5-16.5","16-25.5","10.5-16.5",NA,20.75,13.5
"Ascospores fusiform, L/W 3.0, straight, 15-18 x 5-7 µm,","Bricookea sepalorum_167226","Ascospores","15-18 x 5-7","15-18","5-7",NA,16.5,6
"Ascospores 8 per ascus, uniseriate, overlapping, hyaline, ellipsoid to fusoid with obtuse ends, smooth, widest at the median septum or slightly above, unconstricted, 6.5-10.5-2.5-4 µm;","Nectria camelliae_123753","Ascospores","6.5-10.5 x 2.5-4","6.5-10.5","2.5-4",NA,8.5,3.25
"Ascospores 1-septate, ellipsoid to clavate, uni-to biseriate 7-12 x 3-4 µm.","Nectria camelliae_123753","Ascospores","7-12 x 3-4","7-12","3-4",NA,9.5,3.5
"ascospores about 100 per asci, simple, hyaline, narrowly ellipsoid, 2.5-5-1-1.5 µm.","Polysporina lapponica_196747","ascospores","2.5-5 x 1-1.5","2.5-5","1-1.5",NA,3.75,1.25
"Ascospores biseriate, hyaline, fusiform to ellipsoidal, 1-septate, slightly constricted at the septum, the 2 cells unequal, guttulate, apices rounded, 11-16 x 3-4 µm.","Mycosphaerella pini_172648","Ascospores","11-16 x 3-4","11-16","3-4",NA,13.5,3.5
"Ascospores uniseriate, ellipsoid, hyaline, 9.5-11.5 x 5.5-6.0 µm,","Arpinia luteola_129416","Ascospores","9.5-11.5 x 5.5-6.0","9.5-11.5","5.5-6.0",NA,10.5,5.75
"ascospores with very wide but entire rather than stellate equatorial crests (Fig. 115B). As in the species, cleistothecia are typically borne on pseudo stalks consisting of mounds of globose hülle cells and interwoven mycelium. Growth on Czapek's solution agar is very sparse with vegetative mycelium largely submerged. Colonies on malt extract agar, and on Czapek's solution agar enriched with 1 per cent steep liquor, grow more luxuriantly and produce cleistothecia in much greater abundance.
Conidial structures and cleistothecia of the variety duplicate those of the species; asci measure 10 to 13 µm","Emericella astellata_115245","ascospores","13","13",NA,NA,13,13
"ascospores are larger than those of the species, with spore bodies measuring 5.5 to 6.0 µm","Emericella astellata_115245","ascospores","6.0","6.0",NA,NA,6,6
"ascospores orange-red, lenticular, smooth walled with two equatorial crests which are dentate (Fig. 107C), spore body 3.5 µm","Emericella dentata_115247","ascospores","3.5","3.5",NA,NA,3.5,3.5
"ascospores (Fig. 107D) lenticular, red-orange in color with two prominent pleated equatorial crests about 1.0 µm","Emericella echinulata_115248","ascospores","1.0","1.0",NA,NA,1,1
"Ascospores broadly lenticular, 3.0-4.0 x 2.5-3.0 µm,","Eupenicillium sinaicum_9964","Ascospores","3.0-4.0 x 2.5-3.0","3.0-4.0","2.5-3.0",NA,3.5,2.75
"ascospores ellipsoid-ovoid, ca 17-25.5x 11-15 µm.","Microsphaera swainsonae_130683","ascospores","17-25.5x 11-15","17-25.5","11-15",NA,21.25,13
"Ascospores multiseriate, overlapping, colorless, guttulate, thick-walled, straight, ellipsoidal with obtuse ends, widest in middle of the apical cell, medianly 1-septate, constricted at septum, tapering toward both ends (7-)8-9(-10) x (2-)2.5(-3) µm.","Mycosphaerella parva_58511","Ascospores","(7-)8-9(-10) x (2-)2.5(-3)","8-9","2.5",NA,8.5,2.5
"Ascospores and germ tubes also become uniformly brown at germination. In a re-examination of the type, numerous ascospores were observed on the leaf surface exuding from pseudothecia. Ascospores became dark, distorted and verruculose once discharged, and up to 6 µm","Mycosphaerella parva_58511","Ascospores","6","6",NA,NA,6,6
"ascospores were observed on the leaf surface exuding from pseudothecia. Ascospores became dark, distorted and verruculose once discharged, and up to 6 µm","Mycosphaerella parva_58511","ascospores","6","6",NA,NA,6,6
"Ascospores became dark, distorted and verruculose once discharged, and up to 6 µm","Mycosphaerella parva_58511","Ascospores","6","6",NA,NA,6,6
"Ascospores 1-celled, lemon-shaped, 6-7 x 4.0-4.5 µm,","Pseudallescheria boydii_20052","Ascospores","6-7 x 4.0-4.5","6-7","4.0-4.5",NA,6.5,4.25
"Ascospores colourless to slightly pigmented at maturity, filiform or flagelliform, 120-220 x 3,5-5 µm,","Pseudocochliobolus verruculosus_129620","Ascospores","120-220 x 3,5-5","120-220","3.5-5",NA,170,4.25
"Ascospores biseriate, hyaline, broadly ellipsoid, uniseptate, slightly or not constricted at the septum,11-12 x 2,5-3 µm,","Diaporthe capsici_129881","Ascospores",",11-12 x 2,5-3","11-12","2.5-3",NA,11.5,2.75
"ascospores 1-8 : nae, muriformes, incoloratae, rectae vel curvulae, oblongae elongatae, 80-135 x 25-30 µm.","Helminthocarpon subalbatum_129962","ascospores","80-135 x 25-30","80-135","25-30",NA,107.5,27.5
"ascospores 1-8/ascus, muriform, hyaline, straight to curved, oblong to cylindrical, 25-30 x 80-135 µm","Helminthocarpon subalbatum_129962","ascospores","25-30 x 80-135","25-30","80-135",NA,27.5,107.5
"Ascospores hyaline, muriform, peripheral and central spore locules of equal size, 75-145-24-33.6 µm,","Helminthocarpon subalbatum_129962","Ascospores","75-145 x 24-33.6","75-145","24-33.6",NA,110,28.8
"Ascospores hyaline, muriform, peripheral and central spore locules of equal size, 75-145 x 24-34 µm,","Helminthocarpon subalbatum_129962","Ascospores","75-145 x 24-34","75-145","24-34",NA,110,29
"ascospores (2-)3-5, ellipsoid-ovoid, 18-24 x 10-18 µm.","Microsphaera hypericacearum_206012","ascospores","18-24 x 10-18","18-24","10-18",NA,21,14
"Ascospores 3-4 rarely 2, 5 or 6, c. 20-25 x 10-15 µm.
Hosts:","Microsphaera trifolii_193203","Ascospores",". 20-25 x 10-15","20-25","10-15",NA,22.5,12.5
"ascospores (2-)3-5(-6), ellipsoid-ovoid, 18-30 x 10-16 µm.","Microsphaera trifolii_193203","ascospores","18-30 x 10-16","18-30","10-16",NA,24,13
"Ascospores hyaline, simple, narrowly ellipsoid, 8-11 x 2-3 µm.","Phyllopsora confusa_130160","Ascospores","8-11 x 2-3","8-11","2-3",NA,9.5,2.5
"Ascospores broadly ellipsoidal, 16-20.8 x 5.9-8.4 µm","Setomelanomma holmii_58399","Ascospores","16-20.8 x 5.9-8.4","16-20.8","5.9-8.4",NA,18.4,7.15
"Ascospores 30-40(-52) x 2-3 µm,","Chaetosphaeria fusiformis_52178","Ascospores","30-40(-52) x 2-3","30-40","2-3",NA,35,2.5
"Ascospores filiform, straight or in a helix in the ascus, slightly tapered to an obtuse apex, more tapered towards the base, 5-14-septate,155-310 x 5-7,5 µm.","Cochliobolus ravenelii_130366","Ascospores",",155-310 x 5-7,5","155-310","5-7.5",NA,232.5,6.25
"ascospores (2-)3-5 in macro-asci and 2-4(-5) in micro-asci, ellipsoid-ovoid, yellowish, size (17.5-)19-23(-25) x (10-)11-14(-15) µm","Erysiphe begoniae_130429","ascospores","(17.5-)19-23(-25) x (10-)11-14(-15)","19-23","11-14",NA,21,12.5
"Ascospores hyaline, filiform, smooth, aseptate, 70-100 x 2 µm,","Lophodermium indianum_130497","Ascospores","70-100 x 2","70-100","2",NA,85,2
"Ascospores hyaline, filiform, smooth, aseptate, 55-85 x 2 µm,","Lophodermium orientale_130498","Ascospores","55-85 x 2","55-85","2",NA,70,2
"ascospores (3-)5-6(-7), ellipsoid-ovoid or shortly cylindric, 17-24x 10-14µm.","Microsphaera hyperici_130516","ascospores","17-24x 10-14","17-24","10-14",NA,20.5,12
"Ascospores fusoid, hyaline, straight to curved, 3 (-5)-septate, not or slightly constricted at the septum, 14-23 (-30) x 3,5-4,5 (-7,5) µm.","Monographella albescens_11549","Ascospores","14-23 (-30) x 3,5-4,5 (-7,5)","14-23","3.5-4.5",NA,18.5,4
"Ascospores hyaline, muriform, peripheral and central spore locules of equal size, (135-) 168-205 x 54-96 µm","Phaeographina rufospora_130598","Ascospores","(135-) 168-205 x 54-96","168-205","54-96",NA,186.5,75
"Ascospores parallel to partly or closely coiled in a helix in the ascus, filiform, somewhat tapering towards the ends or flagelliform at the ends, hyaline to very pale, 3-13-septate, 81-206 x 2,5-5,5µm.","Pseudocochliobolus australiensis_130626","Ascospores","81-206 x 2,5-5,5","81-206","2.5-5.5",NA,143.5,4
"Ascospores hyaline, filiform, tapering to an acute end, loosely coiled in the ascus, 85-190 x 2,5-6 µm,","Pseudocochliobolus hawaiiensis_179367","Ascospores","85-190 x 2,5-6","85-190","2.5-6",NA,137.5,4.25
"ascospores ellipsoid-ovoid, ca 17-25.5x 11-15 µm.","Trichocladia swainsonae_374339","ascospores","17-25.5x 11-15","17-25.5","11-15",NA,21.25,13
"Ascospores cylindrical, ends rounded, 19-25 x 4-4.5 µm,","Cercophora solaris_145228","Ascospores","19-25 x 4-4.5","19-25","4-4.5",NA,22,4.25
"Ascospores cylindrical, ends rounded, 40-49 x 4-5 µm,","Cercophora costaricensis_182416","Ascospores","40-49 x 4-5","40-49","4-5",NA,44.5,4.5
"Ascospores (66-)70-85(-90) x 3-3.5(-4) µm","Tubeufia scopula_157419","Ascospores","(66-)70-85(-90) x 3-3.5(-4)","70-85","3-3.5",NA,77.5,3.25
"Ascospores hyaline, filiform, smooth, tapering towards the base, at first aseptate, later 1-3-septate while still inside the ascus, sometimes even becoming 5-septate, guttulate, 45-80 x 2-4 µm,","Lophomerum ponticum_131152","Ascospores","45-80 x 2-4","45-80","2-4",NA,62.5,3
"Ascospores soleiform, at first colourless, 1-septate, markedly constricted at septa, usually with two big guttules in each cell, easily disintegrating into two cells in squash preparations, with age getting olive and finally dark brown and 3-septate, (15-) 16.5-17.5-19 (-21)-5-5.5-6.5 (-7) µm,","Stigmidium icmadophilae_131407","Ascospores","(15-) 16.5-17.5-19 x (-21)-5-5.5-6.5 (-7)","16.5-17.5","5-5.5",NA,17,5.25
"ascospores BCr+ blue-green. Infected areas of the host turn dark grey. Anamorph of Sphaerellothecium icmadophilae or an unidentified species of Phoma with oblong conidia 3.5-4-1.5 µm","Stigmidium icmadophilae_131407","ascospores","3.5-4-1.5","3.5-4",NA,NA,3.75,3.75
"Ascospores multiseptate, hyaline, smooth, disarticulating at the middle septum; part-ascospores lanceolate, multiseptate, (36.5-)41.5-47.2(-57.5) x (2.7-)3.5-4.2(-5.2) µm.","Wakefieldiomyces peltatus_149617","Ascospores","(36.5-)41.5-47.2(-57.5) x (2.7-)3.5-4.2(-5.2)","41.5-47.2","3.5-4.2",NA,44.35,3.85
"part-ascospores lanceolate, multiseptate, (36.5-)41.5-47.2(-57.5) x (2.7-)3.5-4.2(-5.2) µm.","Wakefieldiomyces peltatus_149617","part-ascospores","(36.5-)41.5-47.2(-57.5) x (2.7-)3.5-4.2(-5.2)","41.5-47.2","3.5-4.2",NA,44.35,3.85
"Ascospores obovoid to clavate, often inequilateral, septate in the lower third, slightly constricted at the septum, multiguttulate, 13.3-15.6 x 4.4-5.7 µm.","Fabraea ranunculi_118015","Ascospores","13.3-15.6 x 4.4-5.7","13.3-15.6","4.4-5.7",NA,14.45,5.05
"ascospores lenticular, mostly 4.8 to 5.6 µm","Aspergillus reptans_115204","ascospores","5.6","5.6",NA,NA,5.6,5.6
"Ascospores colourless to slightly pigmented at maturity, filiform or flagelliform, 120-220 x 3,5-5 µm,","Cochliobolus verruculosus_129621","Ascospores","120-220 x 3,5-5","120-220","3.5-5",NA,170,4.25
"Ascospores broadly ellipsoidal, 4-6 x 2.5-4.0 µm,","Dipodascus armillariae_11446","Ascospores","4-6 x 2.5-4.0","4-6","2.5-4.0",NA,5,3.25
"Ascospores arranged biseriately to irregularly, colourless, aseptate, obovate to elliptical, sometimes slightly allantoid, smooth, 12-16 x 4-5 µm,","Discosphaerina fulvida_52988","Ascospores","12-16 x 4-5","12-16","4-5",NA,14,4.5
"ascospores are 12-15 x 4,5-5 µm.Cultures","Fusarium subglutinans_47932","ascospores","12-15 x 4,5-5","12-15","4.5-5",NA,13.5,4.75
"ascospores (2-)3-4(-5) , ellipsoid-ovoid, (16-)18-24 x 10-15µm.","Erysiphe lycopsidis_123844","ascospores","(16-)18-24 x 10-15","18-24","10-15",NA,21,12.5
"ascospores 4-6(-7), ellipsoid-ovoid, yellowish, (20-)23-26.5(-29) x (12-)13-15 (-17) µm.","Erysiphe symplocicola_132324","ascospores","(20-)23-26.5(-29) x (12-)13-15 (-17)","23-26.5","13-15",NA,24.75,14
"Ascospores spherical, 2-3 µm","Arachnotheca vriesii_1603","Ascospores","2-3","2-3",NA,NA,2.5,2.5
"Ascospores hat-shaped, aseptate, hyaline, invested in a sheath, 3-6 x 2-4 µm","Ceratocystis aurea_183320","Ascospores","3-6 x 2-4","3-6","2-4",NA,4.5,3
"Ascospores hyaline by transmitted light, yellowish in mass, unilaterally flattened-elliptical in side view, elliptical in face view, smooth, lacking gelatinous appendages, lacking germ pores, 8.2-10.6 x 3.3-4.5 µm.","Ceratocystis helvellae_193902","Ascospores","8.2-10.6 x 3.3-4.5","8.2-10.6","3.3-4.5",NA,9.4,3.9
