"species","spore.length","spore.width","spore.shape2","spore.shape","spore.volume","genus","species2","family","order","class","phylum","SporeName"
"Tubulicrinis glebulosus","7.5","1.875","4","Allantoid","20.70874064","Tubulicrinis","glebulosus","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tubulicrinis medius","7","1.75","4","Allantoid","16.83697313","Tubulicrinis","medius","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tubulicrinis propinquus","7","1.65","4.242424242","Allantoid","14.9677255","Tubulicrinis","propinquus","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tubulicrinis sororius","6","1.75","3.428571429","Allantoid","14.43169125","Tubulicrinis","sororius","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tubulicrinis strangulatus","2.65","2.65","1","Allantoid","14.6159653","Tubulicrinis","strangulatus","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tubulicrinis subulatus","7","1.75","4","Allantoid","16.83697313","Tubulicrinis","subulatus","Hymenochaetaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tulasnella albida","5.5","4.5","1.222222222","Globose","87.47372045","Tulasnella","albida","Tulasnellaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tulasnella allantospora","8.25","2.75","3","Allantoid","49.00148229","Tulasnella","allantospora","Tulasnellaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tulasnella brinkmannii","15","4.75","3.157894737","Ellipsoid","265.8081909","Tulasnella","brinkmannii","Tulasnellaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tulasnella cf conidiata","10","7","1.428571429","Ellipsoid","384.8451001","Tulasnella","conidiata","Tulasnellaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tulasnella cystidiophora","5","5","1","Globose","98.17477042","Tulasnella","cystidiophora","Tulasnellaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tulasnella eichleriana","3.75","2.75","1.363636364","Globose","22.27340104","Tulasnella","eichleriana","Tulasnellaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tulasnella fuscoviolacea","12","4.25","2.823529412","Allantoid","170.2350519","Tulasnella","fuscoviolacea","Tulasnellaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tulasnella pallida","10","5.75","1.739130435","Fusiform","259.6722678","Tulasnella","pallida","Tulasnellaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tulasnella subglobospora","7.5","6.5","1.153846154","Globose","248.873043","Tulasnella","subglobospora","Tulasnellaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tulasnella tomaculum","5.5","2.75","2","Allantoid","32.66765486","Tulasnella","tomaculum","Tulasnellaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tulasnella violea","6.5","5","1.3","Globose","127.6272016","Tulasnella","violea","Tulasnellaceae","Cantharellales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tylospora asterophora","5","4.25","1.176470588","Lobed","70.93127163","Tylospora","asterophora","Atheliaceae","Atheliales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tylospora fibrillosa","6.25","4.75","1.315789474","Lobed","110.7534129","Tylospora","fibrillosa","Atheliaceae","Atheliales","Agaricomycetes","Basidiomycota","Basidiospores"
"Tympanis sp1.","19","4","4.75","Cylindrical","238.7610417","Tympanis","sp1.","Tympanidaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Urceolella sp nov.","8.1","3.1","2.612903226","Ellipsoid","61.13617844","Urceolella","sp","Hyaloscyphaceae","Helotiales","Leotiomycetes","Ascomycota","Ascospores"
"Vaginatispora cf fuckelii","14.5","4","3.625","Fusiform","182.2123739","Vaginatispora","fuckelii","Massarinaceae","Pleosporales","Dothideomycetes","Ascomycota","Ascospores"
"Wallrothiella congregata","2.75","2.25","1.222222222","Globose","10.93421506","Wallrothiella","congregata","Amplistromataceae","Sordariales","Sordariomycetes","Ascomycota","Ascospores"
"Vararia investiens","10","3.25","3.076923077","Fusiform","82.95768101","Vararia","investiens","Lachnocladiaceae","Russulales","Agaricomycetes","Basidiomycota","Basidiospores"
"Veluticeps abietina","11","4.5","2.444444444","Cylindrical","174.9474409","Veluticeps","abietina","Gloophyllaceae","Gloeophyllales","Agaricomycetes","Basidiomycota","Basidiospores"
"Xenasma pulverulentum","10","6","1.666666667","Ellipsoid","282.7433388","Xenasma","pulverulentum","Xenasmataceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Xenasma rimicola","10","6.25","1.6","Ellipsoid","306.7961576","Xenasma","rimicola","Xenasmataceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Xenasma tulasnelloideum","5.5","4.5","1.222222222","Ellipsoid","87.47372045","Xenasma","tulasnelloideum","Xenasmataceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Xenasmatella borealis","5.5","3.25","1.692307692","Ellipsoid","45.62672455","Xenasmatella","borealis","Xenasmataceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Xenasmatella subflavidocrisea","4","2.25","1.777777778","Ellipsoid","15.90431281","Xenasmatella","subflavidocrisea","Xenasmataceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Xenasmatella vaga","5.25","4.25","1.235294118","Globose","74.47783521","Xenasmatella","vaga","Xenasmataceae","Polyporales","Agaricomycetes","Basidiomycota","Basidiospores"
"Xenolachne longicornis","10.5","3.25","3.230769231","Ellipsoid","87.10556506","Xenolachne","longicornis","Tremellaceae","Tremellales","Tremellomycetes","Basidiomycota","Basidiospores"
"Xeromphalina campanella","7","3.5","2","Cylindrical","67.34789251","Xeromphalina","campanella","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Xeromphalina picta","7.5","4.5","1.666666667","Ellipsoid","119.2823461","Xeromphalina","picta","Mycenaceae","Agaricales","Agaricomycetes","Basidiomycota","Basidiospores"
"Xylodon asperus","5.5","3.75","1.466666667","Ellipsoid","60.7456392","Xylodon","asperus","Schizoporaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Xylodon borealis","5","3.75","1.333333333","Ellipsoid","55.22330836","Xylodon","borealis","Schizoporaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Xylodon brevisetus","4.5","3.25","1.384615385","Ellipsoid","37.33095645","Xylodon","brevisetus","Schizoporaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Xylodon detriticus","5.25","4.25","1.235294118","Ellipsoid","74.47783521","Xylodon","detriticus","Schizoporaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Xylodon nespori","5.25","2.25","2.333333333","Cylindrical","20.87441056","Xylodon","nespori","Schizoporaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Xylodon radula","9","3.25","2.769230769","Allantoid","74.66191291","Xylodon","radula","Schizoporaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Xylodon rimosissimus","5.5","3.75","1.466666667","Ellipsoid","60.7456392","Xylodon","rimosissimus","Schizoporaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
"Xylodon sambuci","5.25","3.75","1.4","Ellipsoid","57.98447378","Xylodon","sambuci","Schizoporaceae","Hymenochaetales","Agaricomycetes","Basidiomycota","Basidiospores"
